county,precinct,office,district,party,candidate,votes,polls,abs,prov
Rankin,508 Eldorado HD74,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,134,129,5,0
Rankin,508 Eldorado HD74,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,1,1,0,0
Rankin,508 Eldorado HD74,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,508 Eldorado HD61,Commissioner of Insurance,,REP,Mike Chaney ,589,562,21,6
Rankin,508 Eldorado HD61,Commissioner of Insurance,,,Write-in,12,12,0,0
Rankin,508 Eldorado HD74,Commissioner of Insurance,,REP,Mike Chaney ,145,140,5,0
Rankin,508 Eldorado HD74,Commissioner of Insurance,,,Write-in,2,2,0,0
Rankin,508 Eldorado,State Senate,20,REP,Josh Harkins ,147,142,5,0
Rankin,508 Eldorado,State Senate,20,,Write-in,0,0,0,0
Rankin,508 Eldorado,State Senate,30,REP,Dean Kirby ,589,562,21,6
Rankin,508 Eldorado,State Senate,30,,Write-in,5,5,0,0
Rankin,508 Eldorado HD61,State House,61,REP,Ray Rogers ,571,544,21,6
Rankin,508 Eldorado HD61,State House,61,,Write-in,6,6,0,0
Rankin,508 Eldorado HD74,State House,74,REP,Mark Baker ,142,137,5,0
Rankin,508 Eldorado HD74,State House,74,,Write-in,0,0,0,0
Rankin,509 Liberty,Voters,,,BALLOTS CAST,816,773,31,12
Rankin,509 Liberty HD59,Governor,,REP,Phil Bryant ,115,115,0,0
Rankin,509 Liberty HD59,Governor,,DEM,Robert Gray ,34,33,0,1
Rankin,509 Liberty HD59,Governor,,REF,Shawn O'Hara ,0,0,0,0
Rankin,509 Liberty HD59,Governor,,,Write-in,3,3,0,0
Rankin,509 Liberty HD74,Governor,,REP,Phil Bryant ,563,525,30,8
Rankin,509 Liberty HD74,Governor,,DEM,Robert Gray ,85,82,0,3
Rankin,509 Liberty HD74,Governor,,REP,Shawn O'Hara ,8,8,0,0
Rankin,509 Liberty HD74,Governor,,,Write-in,2,2,0,0
Rankin,509 Liberty HD59,Lieutenant Governor,,DEM,Tim Johnson ,39,39,0,0
Rankin,509 Liberty HD59,Lieutenant Governor,,REP,Tate Reeves ,105,104,0,1
Rankin,509 Liberty HD59,Lieutenant Governor,,LIB,Ron Williams ,8,8,0,0
Rankin,509 Liberty HD59,Lieutenant Governor,,REF,Rosa B. Williams ,0,0,0,0
Rankin,509 Liberty HD59,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,509 Liberty HD59,Lieutenant Governor,,DEM,Tim Johnson ,109,106,0,3
Rankin,509 Liberty HD59,Lieutenant Governor,,REP,Tate Reeves ,527,490,30,7
Rankin,509 Liberty HD59,Lieutenant Governor,,LIB,Ron Williams ,14,13,0,1
Rankin,509 Liberty HD59,Lieutenant Governor,,REF,Rosa B. Williams ,3,2,1,0
Rankin,509 Liberty HD59,Lieutenant Governor,,,Write-in,3,3,0,0
Rankin,509 Liberty HD59,Secretary of State,,DEM,Charles E. Graham ,36,36,0,0
Rankin,509 Liberty HD59,Secretary of State,,REP,Delbert Hosemann ,116,115,0,1
Rankin,509 Liberty HD59,Secretary of State,,REF,Randy Walker ,1,1,0,0
Rankin,509 Liberty HD59,Secretary of State,,,Write-in,0,0,0,0
Rankin,509 Liberty HD59,Secretary of State,,DEM,Charles E. Graham ,74,70,1,3
Rankin,509 Liberty HD59,Secretary of State,,REP,Delbert Hosemann ,569,531,30,8
Rankin,509 Liberty HD59,Secretary of State,,REF,Randy Walker ,12,12,0,0
Rankin,509 Liberty HD59,Secretary of State,,,Write-in,0,0,0,0
Rankin,509 Liberty HD59,Attorney General,,DEM,Jim Hood ,64,63,0,1
Rankin,509 Liberty HD59,Attorney General,,REP,Mike Hurst ,87,87,0,0
Rankin,509 Liberty HD59,Attorney General,,,Write-in,1,1,0,0
Rankin,509 Liberty HD59,Attorney General,,DEM,Jim Hood ,188,179,5,4
Rankin,509 Liberty HD59,Attorney General,,REP,Mike Hurst ,473,440,26,7
Rankin,509 Liberty HD59,Attorney General,,,Write-in,1,1,0,0
Rankin,509 Liberty HD59,State Auditor,,REP,Stacey E. Pickering ,116,115,0,1
Rankin,509 Liberty HD59,State Auditor,,DEM,Jocelyn  Pepper Pritchett,35,35,0,0
Rankin,509 Liberty HD59,State Auditor,,REF,Lajena Walley ,0,0,0,0
Rankin,509 Liberty HD59,State Auditor,,,Write-in,1,1,0,0
Rankin,509 Liberty HD59,State Auditor,,REP,Stacey E. Pickering ,549,512,29,8
Rankin,509 Liberty HD59,State Auditor,,DEM,Jocelyn  Pepper Pritchett,105,101,1,3
Rankin,509 Liberty HD59,State Auditor,,REF,Lajena Walley ,3,3,0,0
Rankin,509 Liberty HD59,State Auditor,,,Write-in,0,0,0,0
Rankin,509 Liberty HD59,State Treasurer,,REP,Lynn Fitch ,125,124,0,1
Rankin,509 Liberty HD59,State Treasurer,,REF,Viola V. McFarland ,28,28,0,0
Rankin,509 Liberty HD59,State Treasurer,,,Write-in,0,0,0,0
Rankin,509 Liberty HD59,State Treasurer,,REP,Lynn Fitch ,582,543,30,9
Rankin,509 Liberty HD59,State Treasurer,,REF,Viola V. McFarland ,52,49,1,2
Rankin,509 Liberty HD59,State Treasurer,,,Write-in,3,3,0,0
Rankin,509 Liberty HD59,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,33,33,0,0
Rankin,509 Liberty HD59,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,115,114,0,1
Rankin,509 Liberty HD59,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,4,4,0,0
Rankin,509 Liberty HD59,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,509 Liberty HD59,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,74,70,1,3
Rankin,509 Liberty HD59,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,568,532,29,7
Rankin,509 Liberty HD59,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,12,11,0,1
Rankin,509 Liberty HD59,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,509 Liberty HD59,Commissioner of Insurance,,REP,Mike Chaney ,139,138,0,1
Rankin,509 Liberty HD59,Commissioner of Insurance,,,Write-in,2,2,0,0
Rankin,509 Liberty,Commissioner of Insurance,,REP,Mike Chaney ,612,570,31,11
Rankin,509 Liberty,Commissioner of Insurance,,,Write-in,5,5,0,0
Rankin,509 Liberty,State Senate,20,REP,Josh Harkins ,530,502,19,9
Rankin,509 Liberty,State Senate,20,,Write-in,5,5,0,0
Rankin,509 Liberty,State Senate,30,REP,Dean Kirby ,206,193,10,3
Rankin,509 Liberty,State Senate,30,,Write-in,1,1,0,0
Rankin,509 Liberty,State House,59,REP,Brent Powell ,135,134,0,1
Rankin,509 Liberty,State House,59,,Write-in,1,1,0,0
Rankin,509 Liberty,State House,74,REP,Mark Baker ,584,545,28,11
Rankin,509 Liberty,State House,74,,Write-in,3,3,0,0
Rankin,510 Cunningham Hts,Voters,,,BALLOTS CAST,380,369,11,0
Rankin,510 Cunningham Hts,Governor,,REP,Phil Bryant ,303,296,7,0
Rankin,510 Cunningham Hts,Governor,,DEM,Robert Gray ,64,61,3,0
Rankin,510 Cunningham Hts,Governor,,REF,Shawn O'Hara ,10,10,0,0
Rankin,510 Cunningham Hts,Governor,,,Write-in,1,1,0,0
Rankin,510 Cunningham Hts,Lieutenant Governor,,DEM,Tim Johnson ,75,72,3,0
Rankin,510 Cunningham Hts,Lieutenant Governor,,REP,Tate Reeves ,283,276,7,0
Rankin,510 Cunningham Hts,Lieutenant Governor,,LIB,Ron Williams ,5,5,0,0
Rankin,510 Cunningham Hts,Lieutenant Governor,,REF,Rosa B. Williams ,7,7,0,0
Rankin,510 Cunningham Hts,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,510 Cunningham Hts,Secretary of State,,DEM,Charles E. Graham ,58,56,2,0
Rankin,510 Cunningham Hts,Secretary of State,,REP,Delbert Hosemann ,306,298,8,0
Rankin,510 Cunningham Hts,Secretary of State,,REF,Randy Walker ,10,9,1,0
Rankin,510 Cunningham Hts,Secretary of State,,,Write-in,0,0,0,0
Rankin,510 Cunningham Hts,Attorney General,,DEM,Jim Hood ,142,138,4,0
Rankin,510 Cunningham Hts,Attorney General,,REP,Mike Hurst ,233,226,7,0
Rankin,510 Cunningham Hts,Attorney General,,,Write-in,2,2,0,0
Rankin,510 Cunningham Hts,State Auditor,,REP,Stacey E. Pickering ,312,304,8,0
Rankin,510 Cunningham Hts,State Auditor,,DEM,Jocelyn  Pepper Pritchett,55,52,3,0
Rankin,510 Cunningham Hts,State Auditor,,REF,Lajena Walley ,7,7,0,0
Rankin,510 Cunningham Hts,State Auditor,,,Write-in,1,1,0,0
Rankin,510 Cunningham Hts,State Treasurer,,REP,Lynn Fitch ,320,310,10,0
Rankin,510 Cunningham Hts,State Treasurer,,REF,Viola V. McFarland ,45,44,1,0
Rankin,510 Cunningham Hts,State Treasurer,,,Write-in,1,1,0,0
Rankin,510 Cunningham Hts,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,65,63,2,0
Rankin,510 Cunningham Hts,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,295,286,9,0
Rankin,510 Cunningham Hts,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,10,10,0,0
Rankin,510 Cunningham Hts,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,510 Cunningham Hts,Commissioner of Insurance,,REP,Mike Chaney ,350,340,10,0
Rankin,510 Cunningham Hts,Commissioner of Insurance,,,Write-in,3,2,1,0
Rankin,510 Cunningham Hts,State Senate,30,REP,Dean Kirby ,348,338,10,0
Rankin,510 Cunningham Hts,State Senate,30,,Write-in,1,0,1,0
Rankin,510 Cunningham Hts,State House,61,REP,Ray Rogers ,338,328,10,0
Rankin,510 Cunningham Hts,State House,61,,Write-in,9,8,1,0
Rankin,512 Crest Park,Governor,,REP,Phil Bryant ,518,508,6,4
Rankin,512 Crest Park,Governor,,DEM,Robert Gray ,81,77,2,2
Rankin,512 Crest Park,Governor,,REF,Shawn O'Hara ,8,7,0,1
Rankin,512 Crest Park,Governor,,,Write-in,1,1,0,0
Rankin,512 Crest Park,Lieutenant Governor,,DEM,Tim Johnson ,96,92,2,2
Rankin,512 Crest Park,Lieutenant Governor,,REP,Tate Reeves ,483,475,5,3
Rankin,512 Crest Park,Lieutenant Governor,,LIB,Ron Williams ,16,15,1,0
Rankin,512 Crest Park,Lieutenant Governor,,REF,Rosa B. Williams ,7,6,0,1
Rankin,512 Crest Park,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,512 Crest Park,Secretary of State,,DEM,Charles E. Graham ,76,72,2,2
Rankin,512 Crest Park,Secretary of State,,REP,Delbert Hosemann ,506,496,6,4
Rankin,512 Crest Park,Secretary of State,,REF,Randy Walker ,21,20,0,1
Rankin,512 Crest Park,Secretary of State,,,Write-in,0,0,0,0
Rankin,512 Crest Park,Attorney General,,DEM,Jim Hood ,233,227,4,2
Rankin,512 Crest Park,Attorney General,,REP,Mike Hurst ,374,365,4,5
Rankin,512 Crest Park,Attorney General,,,Write-in,0,0,0,0
Rankin,512 Crest Park,State Auditor,,REP,Stacey E. Pickering ,505,494,7,4
Rankin,512 Crest Park,State Auditor,,DEM,Jocelyn  Pepper Pritchett,87,83,1,3
Rankin,512 Crest Park,State Auditor,,REF,Lajena Walley ,9,9,0,0
Rankin,512 Crest Park,State Auditor,,,Write-in,2,2,0,0
Rankin,512 Crest Park,State Treasurer,,REP,Lynn Fitch ,536,524,7,5
Rankin,512 Crest Park,State Treasurer,,REF,Viola V. McFarland ,54,51,1,2
Rankin,512 Crest Park,State Treasurer,,,Write-in,2,2,0,0
Rankin,512 Crest Park,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,71,66,2,3
Rankin,512 Crest Park,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,515,505,6,4
Rankin,512 Crest Park,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,13,13,0,0
Rankin,512 Crest Park,Commissioner of Agriculture & Commerce,,,Write-in,1,1,0,0
Rankin,512 Crest Park,Commissioner of Insurance,,REP,Mike Chaney ,574,559,8,7
Rankin,512 Crest Park,Commissioner of Insurance,,,Write-in,3,3,0,0
Rankin,512 Crest Park,State Senate,30,REP,Dean Kirby ,556,542,7,7
Rankin,512 Crest Park,State Senate,30,,Write-in,3,3,0,0
Rankin,512 Crest Park,State House,61,REP,Ray Rogers ,548,533,8,7
Rankin,512 Crest Park,State House,61,,Write-in,5,5,0,0
Rankin,514 N McLaurin,Voters,,,BALLOTS CAST,391,384,3,4
Rankin,514 N McLaurin,Governor,,REP,Phil Bryant ,343,339,2,2
Rankin,514 N McLaurin,Governor,,DEM,Robert Gray ,42,40,1,1
Rankin,514 N McLaurin,Governor,,REF,Shawn O'Hara ,4,4,0,0
Rankin,514 N McLaurin,Governor,,,Write-in,1,1,0,0
Rankin,514 N McLaurin,Lieutenant Governor,,DEM,Tim Johnson ,48,46,1,1
Rankin,514 N McLaurin,Lieutenant Governor,,REP,Tate Reeves ,324,320,2,2
Rankin,514 N McLaurin,Lieutenant Governor,,LIB,Ron Williams ,7,7,0,0
Rankin,514 N McLaurin,Lieutenant Governor,,REF,Rosa B. Williams ,3,3,0,0
Rankin,514 N McLaurin,Lieutenant Governor,,,Write-in,3,3,0,0
Rankin,514 N McLaurin,Secretary of State,,DEM,Charles E. Graham ,34,32,1,1
Rankin,514 N McLaurin,Secretary of State,,REP,Delbert Hosemann ,343,339,2,2
Rankin,514 N McLaurin,Secretary of State,,REF,Randy Walker ,11,11,0,0
Rankin,514 N McLaurin,Secretary of State,,,Write-in,0,0,0,0
Rankin,514 N McLaurin,Attorney General,,DEM,Jim Hood ,134,131,1,2
Rankin,514 N McLaurin,Attorney General,,REP,Mike Hurst ,255,252,2,1
Rankin,514 N McLaurin,Attorney General,,,Write-in,0,0,0,0
Rankin,514 N McLaurin,State Auditor,,REP,Stacey E. Pickering ,346,340,3,3
Rankin,514 N McLaurin,State Auditor,,DEM,Jocelyn  Pepper Pritchett,40,39,0,1
Rankin,514 N McLaurin,State Auditor,,REF,Lajena Walley ,3,3,0,0
Rankin,514 N McLaurin,State Auditor,,,Write-in,0,0,0,0
Rankin,514 N McLaurin,State Treasurer,,REP,Lynn Fitch ,354,347,3,4
Rankin,514 N McLaurin,State Treasurer,,REF,Viola V. McFarland ,31,31,0,0
Rankin,514 N McLaurin,State Treasurer,,,Write-in,0,0,0,0
Rankin,514 N McLaurin,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,31,30,0,1
Rankin,514 N McLaurin,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,352,346,3,3
Rankin,514 N McLaurin,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,7,7,0,0
Rankin,514 N McLaurin,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,514 N McLaurin,Commissioner of Insurance,,REP,Mike Chaney ,369,362,3,4
Rankin,514 N McLaurin,Commissioner of Insurance,,,Write-in,2,2,0,0
Rankin,514 N McLaurin,State Senate,30,REP,Dean Kirby ,363,356,3,4
Rankin,514 N McLaurin,State Senate,30,,Write-in,2,2,0,0
Rankin,514 N McLaurin,State House,61,REP,Ray Rogers ,351,344,3,4
Rankin,514 N McLaurin,State House,61,,Write-in,5,5,0,0
Rankin,515 S McLaurin,Voters,,,BALLOTS CAST,472,456,14,2
Rankin,515 S McLaurin,Governor,,REP,Phil Bryant ,423,408,13,2
Rankin,515 S McLaurin,Governor,,DEM,Robert Gray ,32,31,1,0
Rankin,515 S McLaurin,Governor,,REF,Shawn O'Hara ,11,11,0,0
Rankin,515 S McLaurin,Governor,,,Write-in,2,2,0,0
Rankin,515 S McLaurin,Lieutenant Governor,,DEM,Tim Johnson ,46,45,1,0
Rankin,515 S McLaurin,Lieutenant Governor,,REP,Tate Reeves ,406,391,13,2
Rankin,515 S McLaurin,Lieutenant Governor,,LIB,Ron Williams ,14,14,0,0
Rankin,515 S McLaurin,Lieutenant Governor,,REF,Rosa B. Williams ,2,2,0,0
Rankin,515 S McLaurin,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,515 S McLaurin,Secretary of State,,DEM,Charles E. Graham ,29,29,0,0
Rankin,515 S McLaurin,Secretary of State,,REP,Delbert Hosemann ,426,410,14,2
Rankin,515 S McLaurin,Secretary of State,,REF,Randy Walker ,11,11,0,0
Rankin,515 S McLaurin,Secretary of State,,,Write-in,0,0,0,0
Rankin,515 S McLaurin,Attorney General,,DEM,Jim Hood ,151,148,3,0
Rankin,515 S McLaurin,Attorney General,,REP,Mike Hurst ,315,302,11,2
Rankin,515 S McLaurin,Attorney General,,,Write-in,0,0,0,0
Rankin,515 S McLaurin,State Auditor,,REP,Stacey E. Pickering ,423,407,14,2
Rankin,515 S McLaurin,State Auditor,,DEM,Jocelyn  Pepper Pritchett,40,40,0,0
Rankin,515 S McLaurin,State Auditor,,REF,Lajena Walley ,5,5,0,0
Rankin,515 S McLaurin,State Auditor,,,Write-in,0,0,0,0
Rankin,515 S McLaurin,State Treasurer,,REP,Lynn Fitch ,425,409,14,2
Rankin,515 S McLaurin,State Treasurer,,REF,Viola V. McFarland ,38,38,0,0
Rankin,515 S McLaurin,State Treasurer,,,Write-in,0,0,0,0
Rankin,515 S McLaurin,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,27,27,0,0
Rankin,515 S McLaurin,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,425,409,14,2
Rankin,515 S McLaurin,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,15,15,0,0
Rankin,515 S McLaurin,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,515 S McLaurin,Commissioner of Insurance,,REP,Mike Chaney ,450,434,14,2
Rankin,515 S McLaurin,Commissioner of Insurance,,,Write-in,4,4,0,0
Rankin,515 S McLaurin,State Senate,30,REP,Dean Kirby ,446,430,14,2
Rankin,515 S McLaurin,State Senate,30,,Write-in,3,3,0,0
Rankin,515 S McLaurin,State House,61,REP,Ray Rogers ,430,417,11,2
Rankin,515 S McLaurin,State House,61,,Write-in,9,8,1,0
Rankin,516 Springhill,Voters,,,BALLOTS CAST,651,619,27,5
Rankin,516 Springhill,Governor,,REP,Phil Bryant ,575,553,18,4
Rankin,516 Springhill,Governor,,DEM,Robert Gray ,56,51,4,1
Rankin,516 Springhill,Governor,,REF,Shawn O'Hara ,2,0,2,0
Rankin,516 Springhill,Governor,,,Write-in,6,6,0,0
Rankin,516 Springhill,Lieutenant Governor,,DEM,Tim Johnson ,69,63,5,1
Rankin,516 Springhill,Lieutenant Governor,,REP,Tate Reeves ,550,528,18,4
Rankin,516 Springhill,Lieutenant Governor,,LIB,Ron Williams ,15,13,2,0
Rankin,516 Springhill,Lieutenant Governor,,REF,Rosa B. Williams ,0,0,0,0
Rankin,516 Springhill,Lieutenant Governor,,,Write-in,7,7,0,0
Rankin,516 Springhill,Secretary of State,,DEM,Charles E. Graham ,53,48,4,1
Rankin,516 Springhill,Secretary of State,,REP,Delbert Hosemann ,574,550,20,4
Rankin,516 Springhill,Secretary of State,,REF,Randy Walker ,15,13,2,0
Rankin,516 Springhill,Secretary of State,,,Write-in,2,2,0,0
Rankin,516 Springhill,Attorney General,,DEM,Jim Hood ,217,202,12,3
Rankin,516 Springhill,Attorney General,,REP,Mike Hurst ,428,412,14,2
Rankin,516 Springhill,Attorney General,,,Write-in,1,1,0,0
Rankin,516 Springhill,State Auditor,,REP,Stacey E. Pickering ,575,550,22,3
Rankin,516 Springhill,State Auditor,,DEM,Jocelyn  Pepper Pritchett,59,54,3,2
Rankin,516 Springhill,State Auditor,,REF,Lajena Walley ,2,2,0,0
Rankin,516 Springhill,State Auditor,,,Write-in,6,6,0,0
Rankin,516 Springhill,State Treasurer,,REP,Lynn Fitch ,609,583,22,4
Rankin,516 Springhill,State Treasurer,,REF,Viola V. McFarland ,23,22,1,0
Rankin,516 Springhill,State Treasurer,,,Write-in,1,1,0,0
Rankin,516 Springhill,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,41,38,3,0
Rankin,516 Springhill,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,592,564,23,5
Rankin,516 Springhill,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,5,5,0,0
Rankin,516 Springhill,Commissioner of Agriculture & Commerce,,,Write-in,5,5,0,0
Rankin,516 Springhill,Commissioner of Insurance,,REP,Mike Chaney ,611,583,24,4
Rankin,516 Springhill,Commissioner of Insurance,,,Write-in,3,3,0,0
Rankin,516 Springhill,State Senate,30,REP,Dean Kirby ,595,569,22,4
Rankin,516 Springhill,State Senate,30,,Write-in,2,2,0,0
Rankin,516 Springhill,State House,61,REP,Ray Rogers ,599,573,22,4
Rankin,516 Springhill,State House,61,,Write-in,1,1,0,0
Rankin,520 S Pearson,Voters,,,BALLOTS CAST ,434,427,6,1
Rankin,520 S Pearson HD61,Governor,,REP,Phil Bryant ,29,28,1,0
Rankin,520 S Pearson HD61,Governor,,DEM,Robert Gray ,173,171,1,1
Rankin,520 S Pearson HD61,Governor,,REF,Shawn O'Hara ,3,3,0,0
Rankin,520 S Pearson HD61,Governor,,,Write-in,0,0,0,0
Rankin,520 S Pearson HD68,Governor,,REP,Phil Bryant ,92,91,1,0
Rankin,520 S Pearson HD68,Governor,,DEM,Robert Gray ,128,125,3,0
Rankin,520 S Pearson HD68,Governor,,REF,Shawn O'Hara ,3,3,0,0
Rankin,520 S Pearson HD68,Governor,,,Write-in,0,0,0,0
Rankin,520 S Pearson HD61,Lieutenant Governor,,DEM,Tim Johnson ,177,175,1,1
Rankin,520 S Pearson HD61,Lieutenant Governor,,REP,Tate Reeves ,25,24,1,0
Rankin,520 S Pearson HD61,Lieutenant Governor,,LIB,Ron Williams ,2,2,0,0
Rankin,520 S Pearson HD61,Lieutenant Governor,,REF,Rosa B. Williams ,2,2,0,0
Rankin,520 S Pearson HD61,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,520 S Pearson HD68,Lieutenant Governor,,DEM,Tim Johnson ,146,142,4,0
Rankin,520 S Pearson HD68,Lieutenant Governor,,REP,Tate Reeves ,74,74,0,0
Rankin,520 S Pearson HD68,Lieutenant Governor,,LIB,Ron Williams ,2,2,0,0
Rankin,520 S Pearson HD68,Lieutenant Governor,,REF,Rosa B. Williams ,0,0,0,0
Rankin,520 S Pearson HD68,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,520 S Pearson HD61,Secretary of State,,DEM,Charles E. Graham ,181,179,1,1
Rankin,520 S Pearson HD61,Secretary of State,,REP,Delbert Hosemann ,22,21,1,0
Rankin,520 S Pearson HD61,Secretary of State,,REF,Randy Walker ,4,4,0,0
Rankin,520 S Pearson HD61,Secretary of State,,,Write-in,0,0,0,0
Rankin,520 S Pearson HD68,Secretary of State,,DEM,Charles E. Graham ,139,135,4,0
Rankin,520 S Pearson HD68,Secretary of State,,REP,Delbert Hosemann ,84,84,0,0
Rankin,520 S Pearson HD68,Secretary of State,,REF,Randy Walker ,0,0,0,0
Rankin,520 S Pearson HD68,Secretary of State,,,Write-in,0,0,0,0
Rankin,520 S Pearson HD61,Attorney General,,DEM,Jim Hood ,192,190,1,1
Rankin,520 S Pearson HD61,Attorney General,,REP,Mike Hurst ,14,13,1,0
Rankin,520 S Pearson HD61,Attorney General,,,Write-in,0,0,0,0
Rankin,520 S Pearson HD68,Attorney General,,DEM,Jim Hood ,171,167,4,0
Rankin,520 S Pearson HD68,Attorney General,,REP,Mike Hurst ,52,52,0,0
Rankin,520 S Pearson HD68,Attorney General,,,Write-in,0,0,0,0
Rankin,520 S Pearson HD61,State Auditor,,REP,Stacey E. Pickering ,31,31,0,0
Rankin,520 S Pearson HD61,State Auditor,,DEM,Jocelyn  Pepper Pritchett,172,170,1,1
Rankin,520 S Pearson HD61,State Auditor,,REF,Lajena Walley ,1,1,0,0
Rankin,520 S Pearson HD61,State Auditor,,,Write-in,0,0,0,0
Rankin,520 S Pearson HD68,State Auditor,,REP,Stacey E. Pickering ,89,88,1,0
Rankin,520 S Pearson HD68,State Auditor,,DEM,Jocelyn  Pepper Pritchett,131,128,3,0
Rankin,520 S Pearson HD68,State Auditor,,REF,Lajena Walley ,1,1,0,0
Rankin,520 S Pearson HD68,State Auditor,,,Write-in,0,0,0,0
Rankin,520 S Pearson HD61,State Treasurer,,REP,Lynn Fitch ,75,74,1,0
Rankin,520 S Pearson HD61,State Treasurer,,REF,Viola V. McFarland ,72,71,0,1
Rankin,520 S Pearson HD61,State Treasurer,,,Write-in,3,3,0,0
Rankin,520 S Pearson HD68,State Treasurer,,REP,Lynn Fitch ,131,130,1,0
Rankin,520 S Pearson HD68,State Treasurer,,REF,Viola V. McFarland ,49,48,1,0
Rankin,520 S Pearson HD68,State Treasurer,,,Write-in,1,1,0,0
Rankin,520 S Pearson HD61,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,185,183,1,1
Rankin,520 S Pearson HD61,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,20,19,1,0
Rankin,520 S Pearson HD61,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,0,0,0,0
Rankin,520 S Pearson HD61,Commissioner of Agriculture & Commerce,,,Write-in,1,1,0,0
Rankin,520 S Pearson HD68,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,135,132,3,0
Rankin,520 S Pearson HD68,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,80,79,1,0
Rankin,520 S Pearson HD68,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,3,3,0,0
Rankin,520 S Pearson HD68,Commissioner of Agriculture & Commerce,,,Write-in,1,1,0,0
Rankin,520 S Pearson HD61,Commissioner of Insurance,,REP,Mike Chaney ,112,110,1,1
Rankin,520 S Pearson HD61,Commissioner of Insurance,,,Write-in,5,5,0,0
Rankin,520 S Pearson HD68,Commissioner of Insurance,,REP,Mike Chaney ,155,154,1,0
Rankin,520 S Pearson HD68,Commissioner of Insurance,,,Write-in,3,3,0,0
Rankin,520 S Pearson,State Senate,30,REP,Dean Kirby ,263,260,2,1
Rankin,520 S Pearson,State Senate,30,,Write-in,6,6,0,0
Rankin,520 S Pearson HD61,State House,61,REP,Ray Rogers ,109,107,1,1
Rankin,520 S Pearson HD61,State House,61,,Write-in,3,3,0,0
Rankin,520 S Pearson HD68,State House,68,DEM,Credell Calhoun ,187,183,4,0
Rankin,520 S Pearson HD68,State House,68,,Write-in,2,2,0,0
Rankin,523 City Hall,Voters,,,BALLOTS CAST,546,528,11,7
Rankin,523 City Hall,Governor,,REP,Phil Bryant ,477,463,8,6
Rankin,523 City Hall,Governor,,DEM,Robert Gray ,64,60,3,1
Rankin,523 City Hall,Governor,,REF,Shawn O'Hara ,4,4,0,0
Rankin,523 City Hall,Governor,,,Write-in,0,0,0,0
Rankin,523 City Hall,Lieutenant Governor,,DEM,Tim Johnson ,84,79,4,1
Rankin,523 City Hall,Lieutenant Governor,,REP,Tate Reeves ,444,432,7,5
Rankin,523 City Hall,Lieutenant Governor,,LIB,Ron Williams ,10,9,0,1
Rankin,523 City Hall,Lieutenant Governor,,REF,Rosa B. Williams ,2,2,0,0
Rankin,523 City Hall,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,523 City Hall,Secretary of State,,DEM,Charles E. Graham ,63,60,2,1
Rankin,523 City Hall,Secretary of State,,REP,Delbert Hosemann ,464,449,9,6
